"year","month","rtime","fpi"
1979,1,1979.0833333333333,54.899999999999999
1979,2,1979.1666666666667,55.5
1979,3,1979.25,56.5
1979,4,1979.3333333333333,57.100000000000001
1979,5,1979.4166666666667,58.799999999999997
1979,6,1979.5,61.299999999999997
1979,7,1979.5833333333333,62.899999999999999
1979,8,1979.6666666666667,64.200000000000003
1979,9,1979.75,65.700000000000003
1979,10,1979.8333333333333,66.5
1979,11,1979.9166666666667,65.700000000000003
1979,12,1980,66.799999999999997
1980,1,1980.0833333333333,68.099999999999994
1980,2,1980.1666666666667,70.099999999999994
1980,3,1980.25,71.5
1980,4,1980.3333333333333,72.299999999999997
1980,5,1980.4166666666667,74.200000000000003
1980,6,1980.5,76.200000000000003
1980,7,1980.5833333333333,77.299999999999997
1980,8,1980.6666666666667,77.599999999999994
1980,9,1980.75,78.099999999999994
1980,10,1980.8333333333333,77.700000000000003
1980,11,1980.9166666666667,76.799999999999997
1980,12,1981,78.099999999999994
1981,1,1981.0833333333333,80.400000000000006
1981,2,1981.1666666666667,83
1981,3,1981.25,84.299999999999997
1981,4,1981.3333333333333,84.900000000000006
1981,5,1981.4166666666667,86.400000000000006
1981,6,1981.5,88.200000000000003
1981,7,1981.5833333333333,89.299999999999997
1981,8,1981.6666666666667,89.799999999999997
1981,9,1981.75,90.5
1981,10,1981.8333333333333,89.700000000000003
1981,11,1981.9166666666667,89.400000000000006
1981,12,1982,89.900000000000006
1982,1,1982.0833333333333,91.400000000000006
1982,2,1982.1666666666667,91.599999999999994
1982,3,1982.25,92.200000000000003
1982,4,1982.3333333333333,91.700000000000003
1982,5,1982.4166666666667,93.799999999999997
1982,6,1982.5,96
1982,7,1982.5833333333333,96.799999999999997
1982,8,1982.6666666666667,97.200000000000003
1982,9,1982.75,98.200000000000003
1982,10,1982.8333333333333,99.5
1982,11,1982.9166666666667,98.900000000000006
1982,12,1983,99.400000000000006
1983,1,1983.0833333333333,99.299999999999997
1983,2,1983.1666666666667,98.799999999999997
1983,3,1983.25,98.400000000000006
1983,4,1983.3333333333333,98.299999999999997
1983,5,1983.4166666666667,100.3
1983,6,1983.5,101.8
1983,7,1983.5833333333333,102.3
1983,8,1983.6666666666667,102
1983,9,1983.75,102.40000000000001
1983,10,1983.8333333333333,101.59999999999999
1983,11,1983.9166666666667,100.2
1983,12,1984,100.09999999999999
1984,1,1984.0833333333333,100.7
1984,2,1984.1666666666667,102.7
1984,3,1984.25,101.8
1984,4,1984.3333333333333,101.90000000000001
1984,5,1984.4166666666667,103.5
1984,6,1984.5,105.09999999999999
1984,7,1984.5833333333333,106.3
1984,8,1984.6666666666667,106.8
1984,9,1984.75,107.09999999999999
1984,10,1984.8333333333333,105.40000000000001
1984,11,1984.9166666666667,103.40000000000001
1984,12,1985,102.8
1985,1,1985.0833333333333,103.09999999999999
1985,2,1985.1666666666667,103
1985,3,1985.25,103.3
1985,4,1985.3333333333333,103.40000000000001
1985,5,1985.4166666666667,104.90000000000001
1985,6,1985.5,106.59999999999999
1985,7,1985.5833333333333,106.5
1985,8,1985.6666666666667,105.90000000000001
1985,9,1985.75,106.40000000000001
1985,10,1985.8333333333333,104.59999999999999
1985,11,1985.9166666666667,103.09999999999999
1985,12,1986,103.59999999999999
1986,1,1986.0833333333333,103.8
1986,2,1986.1666666666667,102
1986,3,1986.25,100.09999999999999
1986,4,1986.3333333333333,98.400000000000006
1986,5,1986.4166666666667,98.599999999999994
1986,6,1986.5,102.2
1986,7,1986.5833333333333,100.5
1986,8,1986.6666666666667,100.40000000000001
1986,9,1986.75,100.09999999999999
1986,10,1986.8333333333333,96.400000000000006
1986,11,1986.9166666666667,93.799999999999997
1986,12,1987,93.799999999999997
1987,1,1987.0833333333333,95
1987,2,1987.1666666666667,95.299999999999997
1987,3,1987.25,95.200000000000003
1987,4,1987.3333333333333,94.700000000000003
1987,5,1987.4166666666667,96.099999999999994
1987,6,1987.5,100.8
1987,7,1987.5833333333333,100.40000000000001
1987,8,1987.6666666666667,101.40000000000001
1987,9,1987.75,101
1987,10,1987.8333333333333,96.900000000000006
1987,11,1987.9166666666667,95.5
1987,12,1988,95.099999999999994
1988,1,1988.0833333333333,95.599999999999994
1988,2,1988.1666666666667,96
1988,3,1988.25,95.799999999999997
1988,4,1988.3333333333333,95.700000000000003
1988,5,1988.4166666666667,96.5
1988,6,1988.5,100.8
1988,7,1988.5833333333333,100.8
1988,8,1988.6666666666667,100.90000000000001
1988,9,1988.75,101
1988,10,1988.8333333333333,98.599999999999994
1988,11,1988.9166666666667,96.799999999999997
1988,12,1989,97.400000000000006
1989,1,1989.0833333333333,98.700000000000003
1989,2,1989.1666666666667,98.599999999999994
1989,3,1989.25,98.5
1989,4,1989.3333333333333,98.799999999999997
1989,5,1989.4166666666667,99.599999999999994
1989,6,1989.5,103.2
1989,7,1989.5833333333333,103.7
1989,8,1989.6666666666667,103.7
1989,9,1989.75,103.5
1989,10,1989.8333333333333,101
1989,11,1989.9166666666667,99.900000000000006
1989,12,1990,101.2
1990,1,1990.0833333333333,104.5
1990,2,1990.1666666666667,103.09999999999999
1990,3,1990.25,102.3
1990,4,1990.3333333333333,101.2
1990,5,1990.4166666666667,101.90000000000001
1990,6,1990.5,105.40000000000001
1990,7,1990.5833333333333,104.5
1990,8,1990.6666666666667,105.59999999999999
1990,9,1990.75,107.59999999999999
1990,10,1990.8333333333333,106.40000000000001
1990,11,1990.9166666666667,105.40000000000001
1990,12,1991,105.59999999999999
1991,1,1991.0833333333333,107.7
1991,2,1991.1666666666667,107.09999999999999
1991,3,1991.25,105.7
1991,4,1991.3333333333333,104
1991,5,1991.4166666666667,105.40000000000001
1991,6,1991.5,107.59999999999999
1991,7,1991.5833333333333,108.2
1991,8,1991.6666666666667,107.7
1991,9,1991.75,108.5
1991,10,1991.8333333333333,106.5
1991,11,1991.9166666666667,105.5
1991,12,1992,106.5
1992,1,1992.0833333333333,106.59999999999999
1992,2,1992.1666666666667,105.90000000000001
1992,3,1992.25,105.2
1992,4,1992.3333333333333,105.09999999999999
1992,5,1992.4166666666667,106.5
1992,6,1992.5,110.2
1992,7,1992.5833333333333,110.40000000000001
1992,8,1992.6666666666667,110.3
1992,9,1992.75,111.09999999999999
1992,10,1992.8333333333333,108.7
1992,11,1992.9166666666667,108.2
1992,12,1993,108.90000000000001
1993,1,1993.0833333333333,109.2
1993,2,1993.1666666666667,107.5
1993,3,1993.25,108.59999999999999
1993,4,1993.3333333333333,108.8
1993,5,1993.4166666666667,110.3
1993,6,1993.5,114.09999999999999
1993,7,1993.5833333333333,114.2
1993,8,1993.6666666666667,114.09999999999999
1993,9,1993.75,114.8
1993,10,1993.8333333333333,112.09999999999999
1993,11,1993.9166666666667,110.09999999999999
1993,12,1994,110.7
1994,1,1994.0833333333333,110.59999999999999
1994,2,1994.1666666666667,111.09999999999999
1994,3,1994.25,111.09999999999999
1994,4,1994.3333333333333,109.8
1994,5,1994.4166666666667,110.59999999999999
1994,6,1994.5,113.90000000000001
1994,7,1994.5833333333333,114.09999999999999
1994,8,1994.6666666666667,114
1994,9,1994.75,113.8
1994,10,1994.8333333333333,110.8
1994,11,1994.9166666666667,109.90000000000001
1994,12,1995,110.09999999999999
