"Date","GAMMA vísitölur"
"2008-12-30",100
"2009-01-02",99.833
"2009-01-05",99.539
"2009-01-06",98.21
"2009-01-07",97.126
"2009-01-08",96.106
"2009-01-09",92.579
"2009-01-12",93.648
"2009-01-13",93.632
"2009-01-14",92.687
"2009-01-15",91.552
"2009-01-16",91.82
"2009-01-19",91.947
"2009-01-20",90.919
"2009-01-21",89.262
"2009-01-22",89.389
"2009-01-23",89.051
"2009-01-26",89.905
"2009-01-27",91.104
"2009-01-28",92.118
"2009-01-29",91.749
"2009-01-30",90.585
"2009-02-02",89.913
"2009-02-03",88.694
"2009-02-04",87.313
"2009-02-05",90.523
"2009-02-06",91.982
"2009-02-09",93.301
"2009-02-10",92.685
"2009-02-11",90.244
"2009-02-12",88.561
"2009-02-13",91.307
"2009-02-16",90.741
"2009-02-17",89.755
"2009-02-18",87.712
"2009-02-19",87.165
"2009-02-20",84.013
"2009-02-23",84.16
"2009-02-24",81.632
"2009-02-25",79.356
"2009-02-26",83.726
"2009-02-27",82.891
"2009-03-02",81.439
"2009-03-03",81.469
"2009-03-04",83.525
"2009-03-05",80.582
"2009-03-06",80.05
"2009-03-09",64.849
"2009-03-10",64.21
"2009-03-11",63.9
"2009-03-12",60.77
"2009-03-13",61.618
"2009-03-16",60.898
"2009-03-17",60.477
"2009-03-18",59.036
"2009-03-19",61.106
"2009-03-20",66.5
"2009-03-23",66.597
"2009-03-24",65.923
"2009-03-25",64.42
"2009-03-26",63.851
"2009-03-27",63.27
"2009-03-30",62.609
"2009-03-31",63.518
"2009-04-01",62.795
"2009-04-02",63.419
"2009-04-03",61.909
"2009-04-06",61.311
"2009-04-07",61.093
"2009-04-08",61.371
"2009-04-14",63.206
"2009-04-15",64.607
"2009-04-16",64.475
"2009-04-17",65.654
"2009-04-20",64.407
"2009-04-21",64.179
"2009-04-22",64.245
"2009-04-24",63.31
"2009-04-27",62.484
"2009-04-28",62.189
"2009-04-29",63.973
"2009-04-30",64.579
"2009-05-04",64.285
"2009-05-05",64.101
"2009-05-06",63.156
"2009-05-07",64.256
"2009-05-08",65.745
"2009-05-11",66.406
"2009-05-12",68.086
"2009-05-13",67.767
"2009-05-14",68.44
"2009-05-15",69.603
"2009-05-18",69.44
"2009-05-19",70.17
"2009-05-20",70.544
"2009-05-22",70.656
"2009-05-25",70.844
"2009-05-26",71.157
"2009-05-27",70.838
"2009-05-28",70.718
"2009-05-29",75.281
"2009-06-02",74.853
"2009-06-03",72.026
"2009-06-04",72.112
"2009-06-05",72.578
"2009-06-08",72.629
"2009-06-09",72.727
"2009-06-10",73.32
"2009-06-11",74.069
"2009-06-12",73.338
"2009-06-15",73.31
"2009-06-16",73.452
"2009-06-18",74.1
"2009-06-19",73.479
"2009-06-22",73.628
"2009-06-23",73.223
"2009-06-24",73.057
"2009-06-25",73.057
"2009-06-26",73.291
"2009-06-29",73.291
"2009-06-30",74.793
"2009-07-01",75.35
"2009-07-02",75.003
"2009-07-03",75.49
"2009-07-06",75.317
"2009-07-07",75.42
"2009-07-08",76.333
"2009-07-09",75.984
"2009-07-10",75.636
"2009-07-13",75.882
"2009-07-14",75.15
"2009-07-15",75.403
"2009-07-16",75.577
"2009-07-17",75.577
"2009-07-20",74.985
"2009-07-21",74.741
"2009-07-22",74.567
"2009-07-23",74.358
"2009-07-24",74.808
"2009-07-27",74.531
"2009-07-28",73.906
"2009-07-29",73.866
"2009-07-30",74.387
"2009-07-31",74.456
"2009-08-04",74.143
"2009-08-05",74.143
"2009-08-06",74.004
"2009-08-07",74.701
"2009-08-10",74.874
"2009-08-11",75.41
"2009-08-12",75.966
"2009-08-13",77.078
"2009-08-14",76.905
"2009-08-17",77.01
"2009-08-18",77.184
"2009-08-19",77.635
"2009-08-20",77.878
"2009-08-21",79.566
"2009-08-24",80.54
"2009-08-25",79.531
"2009-08-26",79.565
"2009-08-27",80.399
"2009-08-28",79.982
"2009-08-31",79.461
"2009-09-01",79.321
"2009-09-02",75.595
"2009-09-03",75.838
"2009-09-04",79.821
"2009-09-07",81.071
"2009-09-08",80.342
"2009-09-09",80.133
"2009-09-10",79.126
"2009-09-11",77.946
"2009-09-14",76.835
"2009-09-15",76.834
"2009-09-16",76.834
"2009-09-17",78.224
"2009-09-18",76.872
"2009-09-21",76.837
"2009-09-22",77.433
"2009-09-23",75.799
"2009-09-24",75.836
"2009-09-25",75.94
"2009-09-28",77.437
"2009-09-29",77.402
"2009-09-30",77.264
"2009-10-01",77.89
"2009-10-02",78.297
"2009-10-05",77.838
"2009-10-06",77.425
"2009-10-07",78.016
"2009-10-08",76.723
"2009-10-09",78.03
"2009-10-12",77.882
"2009-10-13",77.204
"2009-10-14",77.651
"2009-10-15",77.784
"2009-10-16",77.829
"2009-10-19",78.054
"2009-10-20",78.368
"2009-10-21",79.046
"2009-10-22",78.243
"2009-10-23",78.428
"2009-10-26",78.307
"2009-10-27",78.842
"2009-10-28",78.753
"2009-10-29",79.601
"2009-10-30",79.822
"2009-11-02",79.898
"2009-11-03",81.133
"2009-11-04",82.516
"2009-11-05",82.543
"2009-11-06",83.165
"2009-11-09",81.531
"2009-11-10",81.529
"2009-11-11",81.81
"2009-11-12",83.011
"2009-11-13",83.548
"2009-11-16",82.23
"2009-11-17",83.279
"2009-11-18",83.502
"2009-11-19",83.725
"2009-11-20",83.369
"2009-11-23",78.062
"2009-11-24",78.921
"2009-11-25",79.261
"2009-11-26",80.03
"2009-11-27",78.558
"2009-11-30",79.239
"2009-12-01",80.252
"2009-12-02",81.648
"2009-12-03",81.47
"2009-12-04",81.78
"2009-12-07",81.289
"2009-12-08",80.832
"2009-12-09",82.304
"2009-12-10",82.839
"2009-12-11",82.528
"2009-12-14",83.251
"2009-12-15",84.333
"2009-12-16",86.783
"2009-12-17",87.986
"2009-12-18",86.602
"2009-12-21",87.225
"2009-12-22",87.404
"2009-12-23",87.092
"2009-12-28",86.825
"2009-12-29",88.117
"2009-12-30",88.889
"2010-01-04",88.364
"2010-01-05",88.626
"2010-01-06",89.283
"2010-01-07",88.652
"2010-01-08",88.774
"2010-01-11",89.07
"2010-01-12",90.385
"2010-01-13",92.268
